CODIGO,NOME,PROFESSOR,TURNO,FASE,ATIVO
GCH029,História da Fronteira Sul,Delmir,N,6,S
GCH012,Fundamentos da Crítica Social,Fernando Bilibio,M,7,S
GEX106,Computação Distribuída,Emílio Wuerges,M,7,S
GEX109,Inteligência Artificial,José Carlos Bins Filho,M,7,S
OPT1,Optativa I,Leandro M. Zatesko,M,7,S
OPT2,Optativa II,Adriano Padilha,M,7,S
GEX119,Trabalho de Conclusão de Curso I,Claunir Pavan,M,7,S
GEX110,Sistemas Operacionais,Marco A. Spohn,N,7,N
GEX107,Computação Gráfica,José Carlos Bins Filho,N,7,N
GEX108,Construção Compiladores,Bráulio A. de Mello,N,7,N
GCH012,Fundamentos da Crítica Social,Fernando Bilibio,N,7,N
GEX109,Inteligência Artificial,José Carlos Bins Filho,N,7,N
GEX120,Trabalho de Conclusão de Curso II,Marco A. Spohn,M,8,N
GCS011,"Meio Ambiente,  Economia e Sociedade",Andrezza Piekas,M,8,N
GEX112,Segurança e Auditoria de Sistemas,Emílio Wuerges,M,8,N
GCH011,Introdução ao Pensamento Social,Valdete Boni,N,8,S
GEX105,Redes de Computadores,Claunir Pavan,N,8,S
GCS107,Planejamento e Gestão de Projetos,Raquel A. Pegoraro,N,8,S
OPT1,Optativa I,Leandro M. Zatesko,N,8,S
OPT1,Optativa I,Bráulio A. de Mello,N,8,S
GCS011,"Meio Ambiente,  Economia e Sociedade",Angelo,N,8,S
GEX106,Computação Distribuída,Emílio Wuerges,N,9,N
OPT2,Optativa II,Adriano Padilha,N,9,N
GEX119,Trabalho de Conclusão de Curso I,Claunir Pavan,N,9,N
GEX112,Segurança e Auditoria de Sistemas,Emílio Wuerges,N,9,N
GEX120,Trabalho de Conclusão de Curso II,Marco A. Spohn,N,10,S
OPT3,Optativa III,José Carlos Bins Filho,N,10,S
OPT4,Optativa IV,Guilherme Dal Bianco,N,10,S
GEX433,Modelagem e Simulação,Bráulio A. de Mello,M,11,N
GEX452,Tópicos especiais em sistemas distribuídos,Claunir Pavan,M,11,N
GEX450,Tópicos especiais em qualidade de software,Graziela S. Tonin,M,11,N
GEX433,Modelagem e Simulação,Bráulio A. de Mello,N,11,N
GEX452,Tópicos especiais em sistemas distribuídos,Claunir Pavan,N,11,N
GEX450,Tópicos especiais em qualidade de software,Graziela S. Tonin,N,11,N
GEX433,Modelagem e Simulação,Bráulio A. de Mello,M,11,N
GEX452,Tópicos especiais em sistemas distribuídos,Claunir Pavan,M,11,N
GEX450,Tópicos especiais em qualidade de software,Graziela S. Tonin,M,11,N
